handle_height_m,standoff_m,root_height_m,tcp_error_m,self_collision,self_collision_evidence,min_joint_limit_margin_rad,arm_j6_margin_rad,feasible,failure_reason
0.85,0.4,0.75,0.16331444680690765,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.15846818685531616,0.5467195510864258,False,tcp_error_not_below_tolerance
0.85,0.45,0.55,0.13516196608543396,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.3967069387435913,0.3967069387435913,False,tcp_error_not_below_tolerance
0.85,0.45,0.65,0.13347940146923065,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.2924214005470276,0.6553388833999634,False,tcp_error_not_below_tolerance
0.85,0.45,0.75,0.20676322281360626,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.3034987151622772,0.6888540983200073,False,tcp_error_not_below_tolerance
0.85,0.5,0.55,0.0404767282307148,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.2622184753417969,0.34077227115631104,False,tcp_error_not_below_tolerance
0.85,0.5,0.65,0.09655047953128815,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.2982065677642822,0.6808605194091797,False,tcp_error_not_below_tolerance
0.85,0.5,0.75,0.18339957296848297,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.3143310546875,0.70082688331604,False,tcp_error_not_below_tolerance
0.85,0.55,0.55,0.010090264491736889,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.33209434151649475,0.47753167152404785,True,
0.85,0.55,0.65,0.07242228835821152,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.31929174065589905,0.7069544792175293,False,tcp_error_not_below_tolerance
0.85,0.55,0.75,0.1702740341424942,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.33094000816345215,0.7087202072143555,False,tcp_error_not_below_tolerance
0.85,0.6,0.55,0.006996212061494589,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.4631749391555786,0.49850642681121826,True,
0.85,0.6,0.65,0.07073012739419937,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.362240195274353,0.7105623483657837,False,tcp_error_not_below_tolerance
0.85,0.6,0.75,0.16941487789154053,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.35207587480545044,0.7097716331481934,False,tcp_error_not_below_tolerance
0.85,0.65,0.55,0.05243021622300148,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.4639759063720703,0.559592604637146,False,tcp_error_not_below_tolerance
0.85,0.65,0.65,0.09264806658029556,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.40141236782073975,0.6895414590835571,False,tcp_error_not_below_tolerance
